proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,36,7,N,Oslo,RT,London (Heathrow),Heathrow,71,70.49,London,OSL,Oslo,OSL,LHR,M,EUK,Oslo,GBP,5.0,0.14
N,67,7,N,Palermo,RT,London (Heathrow),Heathrow,134,133.99,London,PMO,Palermo,PMO,LHR,M,EUK,Palermo,GBP,5.0,0.07
N,37,7,N,Palma,RT,London (Gatwick),Gatwick,73,72.58,London,PMI,Palma,PMI,LGW,M,EUK,Palma,GBP,5.0,0.14
N,73,7,N,Paphos,RT,London (Heathrow),Heathrow,145,144.59,London,PFO,Paphos,PFO,LHR,M,EUK,Paphos,GBP,10.0,0.14
N,40,7,N,Paris,RT,London (Heathrow),Heathrow,80,79.39,London,CDG,Paris (Charles de Gaulle),PAR,LHR,M,EUK,Charles de Gaulle,GBP,5.0,0.13
N,232,7,Y,Philadelphia,RT,London (Heathrow),Heathrow,464,463.59,London,PHL,Philadelphia,PHL,LHR,M,NOA,Philadelphia International,GBP,20.0,0.09
N,297,7,Y,Phoenix,RT,London (Heathrow),Heathrow,594,593.59,London,PHX,Phoenix (Sky Harbor International),PHX,LHR,M,NOA,Sky Harbor International,GBP,20.0,0.07
N,36,7,N,Pisa,RT,London (Heathrow),Heathrow,72,71.69,London,PSA,Pisa,PSA,LHR,M,EUK,Pisa,GBP,5.0,0.14
N,247,7,Y,Pittsburgh,RT,London (Heathrow),Heathrow,494,493.59,London,PIT,Pittsburgh,PIT,LHR,M,NOA,Pittsburgh International,GBP,20.0,0.08
N,120,7,N,Ponta Delgada,RT,London (Heathrow),Heathrow,240,239.09,London,PDL,Ponta Delgada,PDL,LHR,M,EUK,Ponta Delgada,GBP,10.0,0.08
N,220,7,Y,Port of Spain,RT,London (Gatwick),Gatwick,439,438.08,London,POS,Port of Spain,POS,LGW,M,SOA,Port of Spain,GBP,20.0,0.09
N,46,7,N,Porto,RT,London (Gatwick),Gatwick,91,90.08,London,OPO,Porto,OPO,LGW,M,EUK,Porto,GBP,5.0,0.11
N,39,7,N,Prague,RT,London (Heathrow),Heathrow,77,76.49,London,PRG,Prague,PRG,LHR,M,EUK,Prague,GBP,5.0,0.13
N,93,7,N,Pula,RT,London (Heathrow),Heathrow,185,184.59,London,PUY,Pula,PUY,LHR,M,EUK,Pula,GBP,5.0,0.05
N,269,7,Y,Punta Cana,RT,London (Gatwick),Gatwick,538,537.48,London,PUJ,Punta Cana,PUJ,LGW,M,SOA,Punta Cana,GBP,20.0,0.07
N,57,7,N,Reykjavik,RT,London (Heathrow),Heathrow,114,113.59,London,KEF,Reykjavik (Keflavik),REK,LHR,M,EUK,Keflavik,GBP,10.0,0.18
N,98,7,N,Rhodes,RT,London (Gatwick),Gatwick,196,195.68,London,RHO,Rhodes,RHO,LGW,M,EUK,Rhodes,GBP,10.0,0.1
N,38,7,N,Riga,RT,London (Heathrow),Heathrow,75,74.59,London,RIX,Riga,RIX,LHR,M,EUK,Riga,GBP,5.0,0.13
N,364,7,N,Riyadh,RT,London (Heathrow),Heathrow,728,727.29,London,RUH,Riyadh,RUH,LHR,M,MDE,King Khalid International,GBP,20.0,0.05
N,54,7,N,Rome,RT,London (Heathrow),Heathrow,107,106.59,London,FCO,Rome (Fiumicino),ROM,LHR,M,EUK,Fiumicino,GBP,5.0,0.09
N,76,7,N,Rotterdam,RT,London (City Airport),City Airport,151,150.89,London,RTM,Rotterdam,RTM,LCY,M,EUK,Rotterdam,GBP,5.0,0.07
N,50,7,N,Salzburg,RT,London (Gatwick),Gatwick,99,98.88,London,SZG,Salzburg,SZG,LGW,M,EUK,Salzburg,GBP,5.0,0.1
N,212,7,Y,San Diego,RT,London (Heathrow),Heathrow,424,423.59,London,SAN,San Diego,SAN,LHR,M,NOA,San Diego International,GBP,20.0,0.09
N,197,7,Y,San Francisco,RT,London (Heathrow),Heathrow,394,393.59,London,SFO,San Francisco,SFO,LHR,M,NOA,San Francisco International,GBP,20.0,0.1
N,71,7,N,San Sebastian,RT,London (City Airport),City Airport,141,140.89,London,EAS,San Sebastian,EAS,LCY,M,EUK,San Sebastian,GBP,5.0,0.07
N,398,7,N,Santiago,RT,London (Heathrow),Heathrow,796,795.79,London,SCL,Santiago,SCL,LHR,M,SOA,Santiago,GBP,20.0,0.05
N,345,7,N,Sao Paulo,RT,London (Heathrow),Heathrow,690,689.49,London,GRU,Sao Paulo (Guarulhos Intl),SAO,LHR,M,SOA,Guarulhos Intl,GBP,20.0,0.06
N,237,7,Y,Seattle,RT,London (Heathrow),Heathrow,474,473.59,London,SEA,Seattle (Seattle-Tacoma International),SEA,LHR,M,NOA,Seattle-Tacoma International,GBP,20.0,0.08
N,42,7,N,Seville,RT,London (Gatwick),Gatwick,83,82.48,London,SVQ,Seville,SVQ,LGW,M,EUK,Seville,GBP,5.0,0.12
N,250,7,N,Shanghai,RT,London (Heathrow),Heathrow,499,498.49,London,PVG,Shanghai (Shanghai Pudong),SHA,LHR,M,FEA,Shanghai Pudong,GBP,20.0,0.08
N,134,7,N,Sharm El Sheikh,RT,London (Gatwick),Gatwick,268,267.68,London,SSH,Sharm El Sheikh,SSH,LGW,M,AFR,Sharm El Sheikh Intl,GBP,10.0,0.07
N,317,7,N,Singapore,RT,London (Heathrow),Heathrow,633,632.69,London,SIN,Singapore (Changi),SIN,LHR,M,FEA,Changi,GBP,20.0,0.06
N,169,7,N,Skiathos,RT,London (City Airport),City Airport,338,337.29,London,JSI,Skiathos,JSI,LCY,M,EUK,Skiathos,GBP,10.0,0.06
