proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code,tier_points,tier_points_per_pound
N,225,7,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,225,3,N,Lanzarote,RT,London (Gatwick),Gatwick,449,448.28,London,ACE,Lanzarote,ACE,LGW,C,EUK,Arrecife,GBP,80.0,0.36
N,111,7,N,Pisa,RT,London (Heathrow),Heathrow,222,221.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.36
N,110,5,N,Pisa,RT,London (Heathrow),Heathrow,220,219.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.36
N,221,7,N,Fuerteventura,RT,London (Gatwick),Gatwick,441,440.28,London,FUE,Fuerteventura,FUE,LGW,C,EUK,Fuerteventura,GBP,80.0,0.36
N,110,7,N,Jersey,RT,London (Heathrow),Heathrow,220,219.64,London,JER,Jersey,JER,LHR,C,EUK,Jersey,GBP,40.0,0.36
N,113,3,N,Pisa,RT,London (Heathrow),Heathrow,226,225.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.35
N,115,4,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
N,115,4,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,115,6,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,116,1,N,Hamburg,RT,London (Heathrow),Heathrow,232,231.12,London,HAM,Hamburg,HAM,LHR,C,EUK,Hamburg,GBP,40.0,0.35
N,115,6,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
N,115,5,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,227,4,N,Corfu,RT,London (Heathrow),Heathrow,454,453.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
Y,227,3,N,Corfu,RT,London (Heathrow),Heathrow,454,453.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
N,115,3,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
Y,227,2,N,Corfu,RT,London (Heathrow),Heathrow,454,453.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
N,227,5,N,Corfu,RT,London (Heathrow),Heathrow,454,453.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
N,115,2,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,229,6,N,Corfu,RT,London (Heathrow),Heathrow,457,456.82,London,CFU,Corfu,CFU,LHR,C,EUK,Ioannis Kapodistrias,GBP,80.0,0.35
N,115,7,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,115,3,N,Gothenburg,RT,London (Heathrow),Heathrow,230,229.82,London,GOT,Gothenburg,GOT,LHR,C,EUK,Gothenburg,GBP,40.0,0.35
N,115,2,N,Pisa,RT,London (Heathrow),Heathrow,230,229.82,London,PSA,Pisa,PSA,LHR,C,EUK,Pisa,GBP,40.0,0.35
N,115,5,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
N,226,3,N,Athens,RT,London (Heathrow),Heathrow,451,450.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.35
N,226,5,N,Athens,RT,London (Heathrow),Heathrow,451,450.92,London,ATH,Athens,ATH,LHR,C,EUK,Athens,GBP,80.0,0.35
N,115,2,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
N,115,7,N,Cologne,RT,London (Heathrow),Heathrow,230,229.52,London,CGN,Cologne (Cologne/Bonn),CGN,LHR,C,EUK,Cologne/Bonn,GBP,40.0,0.35
