proxy_price,rounded_lowest_each_way_price,number_of_nights,is_sales_fare,arr_city_name,trip_type,dep_lpf_city_airport_display,dep_airport_name,rounded_lowest_price,lowest_price,dep_city_name,arrival_airport,arr_lpf_city_airport_display,arrival_city,departure_airport,cabin,region_code,arr_airport_name,currency_code
N,277,7,N,Pittsburgh,RT,London (Heathrow),Heathrow,554,553.09,London,PIT,Pittsburgh,PIT,LHR,M,NOA,Pittsburgh International,GBP
N,144,7,N,Ponta Delgada,RT,London (Heathrow),Heathrow,288,287.29,London,PDL,Ponta Delgada,PDL,LHR,M,EUK,Ponta Delgada,GBP
N,264,7,N,Port of Spain,RT,London (Gatwick),Gatwick,527,526.38,London,POS,Port of Spain,POS,LGW,M,SOA,Port of Spain,GBP
N,298,7,N,Portland,RT,London (Heathrow),Heathrow,595,594.09,London,PDX,Portland,PDX,LHR,M,NOA,Portland International,GBP
N,46,7,N,Porto,RT,London (Gatwick),Gatwick,91,90.38,London,OPO,Porto,OPO,LGW,M,EUK,Porto,GBP
N,39,7,N,Prague,RT,London (Heathrow),Heathrow,77,76.59,London,PRG,Prague,PRG,LHR,M,EUK,Prague,GBP
N,66,7,N,Preveza Lefkada,RT,London (Heathrow),Heathrow,132,131.99,London,PVK,Preveza Lefkada,PVK,LHR,M,EUK,Aktion,GBP
N,299,7,N,Providenciales,RT,London (Heathrow),Heathrow,597,596.49,London,PLS,Providenciales,PLS,LHR,M,SOA,Providenciales,GBP
N,93,7,N,Pula,RT,London (Heathrow),Heathrow,185,184.79,London,PUY,Pula,PUY,LHR,M,EUK,Pula,GBP
N,297,7,N,Punta Cana,RT,London (Gatwick),Gatwick,593,592.08,London,PUJ,Punta Cana,PUJ,LGW,M,SOA,Punta Cana,GBP
N,56,7,N,Reykjavik,RT,London (Heathrow),Heathrow,111,110.79,London,KEF,Reykjavik (Keflavik),REK,LHR,M,EUK,Keflavik,GBP
